"credit_risk","age","amount","credit_history","duration","employment_duration","foreign_worker","housing","installment_rate","job","number_credits","other_debtors","other_installment_plans","people_liable","personal_status_sex","present_residence","property","purpose","savings","status","telephone"
"529","bad",NA,2302,"no credits taken/all credits paid back duly",36,"1 <= ... < 4 yrs","no","for free","< 20","skilled employee/official","1","none","none","0 to 2","male : divorced/separated",">= 7 yrs","building soc. savings agr. / life insurance","furniture/equipment","unknown/no savings account","no checking account","no"
"530","good",41,662,"no credits taken/all credits paid back duly",6,"< 1 yr","no","rent","20 <= ... < 25","unskilled - resident","1","none","none","3 or more","male : married/widowed",">= 7 yrs","unknown / no property","others","unknown/no savings account","no checking account","yes (under customer name)"
"531","good",0,2273,"no credits taken/all credits paid back duly",36,"4 <= ... < 7 yrs","no","rent","20 <= ... < 25","skilled employee/official","2-3","none","none","3 or more","male : married/widowed","< 1 yr","building soc. savings agr. / life insurance","repairs","unknown/no savings account","... < 0 DM","no"
"532","bad",0,2631,"no credits taken/all credits paid back duly",15,"1 <= ... < 4 yrs","no","for free","25 <= ... < 35","skilled employee/official","2-3","none","none","0 to 2","female : non-single or male : single",">= 7 yrs","building soc. savings agr. / life insurance","others","... < 100 DM","... < 0 DM","yes (under customer name)"
"533","good",NA,1503,"existing credits paid back duly till now",12,NA,"no","for free","< 20","skilled employee/official","1","none","none","0 to 2","female : single",">= 7 yrs","unknown / no property","car (new)","unknown/no savings account","... >= 200 DM / salary for at least 1 year","no"
"534","good",NA,1311,"no credits taken/all credits paid back duly",24,"4 <= ... < 7 yrs","no","rent","< 20","skilled employee/official","1","none","none","0 to 2","female : single","4 <= ... < 7 yrs","car or other","furniture/equipment","... < 100 DM","... >= 200 DM / salary for at least 1 year","yes (under customer name)"
"535","good",25,3105,"no credits taken/all credits paid back duly",24,"< 1 yr","no","rent","< 20","skilled employee/official","2-3","none","none","0 to 2","male : married/widowed","1 <= ... < 4 yrs","building soc. savings agr. / life insurance","furniture/equipment","... >= 1000 DM","... >= 200 DM / salary for at least 1 year","no"
"536","bad",33,2319,"all credits at this bank paid back duly",21,"< 1 yr","no","for free","25 <= ... < 35","skilled employee/official","1","none","none","0 to 2","male : divorced/separated","< 1 yr","building soc. savings agr. / life insurance","repairs","unknown/no savings account","0<= ... < 200 DM","no"
"537","good",75,1374,"no credits taken/all credits paid back duly",6,"unemployed","no","rent","< 20","manager/self-empl/highly qualif. employee","1","none","none","0 to 2","female : non-single or male : single","4 <= ... < 7 yrs","car or other","others","... >= 1000 DM","no checking account","yes (under customer name)"
"538","good",37,3612,"all credits at this bank paid back duly",18,">= 7 yrs","no","rent","20 <= ... < 25","skilled employee/official","1","none","none","0 to 2","female : non-single or male : single",">= 7 yrs","car or other","car (used)","unknown/no savings account","... < 0 DM","yes (under customer name)"
"539","bad",42,7763,"no credits taken/all credits paid back duly",48,">= 7 yrs","no","own","< 20","manager/self-empl/highly qualif. employee","1","none","bank","0 to 2","male : married/widowed",">= 7 yrs","real estate","others","unknown/no savings account","no checking account","no"
"540","good",NA,3049,"no credits taken/all credits paid back duly",18,"< 1 yr","no","rent",">= 35","unskilled - resident","1","none","stores","0 to 2","female : non-single or male : single","< 1 yr","car or other","car (used)","unknown/no savings account","0<= ... < 200 DM","no"
"541","bad",23,1534,"no credits taken/all credits paid back duly",12,NA,"no","for free",">= 35","skilled employee/official","1","none","none","0 to 2","female : single","< 1 yr","unknown / no property","furniture/equipment","unknown/no savings account","... < 0 DM","no"
"542","good",NA,2032,"existing credits paid back duly till now",24,">= 7 yrs","no","own","< 20","skilled employee/official","2-3","none","none","0 to 2","male : married/widowed",">= 7 yrs","real estate","others","unknown/no savings account","... >= 200 DM / salary for at least 1 year","yes (under customer name)"
"543","bad",31,6350,"no credits taken/all credits paid back duly",30,">= 7 yrs","no","rent","< 20","skilled employee/official","1","none","none","0 to 2","male : married/widowed",">= 7 yrs","car or other","car (used)","... >= 1000 DM","no checking account","no"
"544","bad",34,2864,"no credits taken/all credits paid back duly",18,"1 <= ... < 4 yrs","no","rent","25 <= ... < 35","unskilled - resident","1","none","none","3 or more","male : married/widowed","< 1 yr","unknown / no property","car (used)","unknown/no savings account","0<= ... < 200 DM","no"
"545","good",61,1255,"all credits at this bank paid back duly",12,">= 7 yrs","no","rent","< 20","unskilled - resident","2-3","none","none","0 to 2","male : married/widowed",">= 7 yrs","unknown / no property","others","unknown/no savings account","... >= 200 DM / salary for at least 1 year","no"
"546","bad",43,1333,"existing credits paid back duly till now",24,"unemployed","no","own","< 20","skilled employee/official","2-3","none","none","3 or more","male : married/widowed","1 <= ... < 4 yrs","unknown / no property","others","unknown/no savings account","no checking account","no"
"547","good",37,2022,"all credits at this bank paid back duly",24,"1 <= ... < 4 yrs","no","rent","< 20","skilled employee/official","1","none","none","0 to 2","female : non-single or male : single",">= 7 yrs","building soc. savings agr. / life insurance","others","unknown/no savings account","... >= 200 DM / salary for at least 1 year","yes (under customer name)"
"548","good",32,1552,"no credits taken/all credits paid back duly",24,"4 <= ... < 7 yrs","no","rent","20 <= ... < 25","skilled employee/official","1","none","bank","3 or more","male : married/widowed","< 1 yr","building soc. savings agr. / life insurance","furniture/equipment","unknown/no savings account","... >= 200 DM / salary for at least 1 year","no"
"549","bad",24,626,"critical account/other credits elsewhere",12,"1 <= ... < 4 yrs","no","rent","< 20","unskilled - resident","1","none","bank","0 to 2","female : non-single or male : single",">= 7 yrs","unknown / no property","furniture/equipment","unknown/no savings account","no checking account","no"
"550","good",35,8858,"all credits at this bank paid back duly",48,"4 <= ... < 7 yrs","no","own","25 <= ... < 35","skilled employee/official","2-3","none","none","0 to 2","male : married/widowed","< 1 yr","real estate","car (new)","... >= 1000 DM","... >= 200 DM / salary for at least 1 year","yes (under customer name)"
"551","good",23,996,"all credits at this bank paid back duly",12,"4 <= ... < 7 yrs","no","rent","< 20","skilled employee/official",NA,"none","none","0 to 2","female : non-single or male : single",">= 7 yrs","unknown / no property","domestic appliances","... >= 1000 DM","... >= 200 DM / salary for at least 1 year","no"
"552","good",45,1750,"critical account/other credits elsewhere",6,">= 7 yrs","no","rent","25 <= ... < 35","unskilled - resident","1","none","bank","3 or more","male : married/widowed",">= 7 yrs","car or other","furniture/equipment","100 <= ... < 500 DM","... >= 200 DM / salary for at least 1 year","no"
"553","bad",34,6999,"no credits taken/all credits paid back duly",48,"4 <= ... < 7 yrs","no","rent",">= 35","skilled employee/official","2-3","guarantor","none","0 to 2","female : single","< 1 yr","unknown / no property","furniture/equipment","unknown/no savings account","no checking account","yes (under customer name)"
"554","good",27,1995,"all credits at this bank paid back duly",12,"< 1 yr","no","rent","< 20","skilled employee/official","1","none","none","0 to 2","male : married/widowed","< 1 yr","building soc. savings agr. / life insurance","others","... < 100 DM","... < 0 DM","no"
"555","good",67,1199,"no credits taken/all credits paid back duly",9,"4 <= ... < 7 yrs","no","rent","< 20","manager/self-empl/highly qualif. employee","2-3","none","none","0 to 2","female : non-single or male : single",">= 7 yrs","car or other","repairs","unknown/no savings account","... < 0 DM","yes (under customer name)"
"556","bad",22,1331,"no credits taken/all credits paid back duly",12,"< 1 yr","no","rent","25 <= ... < 35","skilled employee/official","1","none","stores","0 to 2","male : married/widowed","< 1 yr","building soc. savings agr. / life insurance","furniture/equipment","unknown/no savings account","... < 0 DM","no"
"557","bad",28,2278,"delay in paying off in the past",18,"< 1 yr","no","rent","20 <= ... < 25","skilled employee/official","2-3","none","none","0 to 2","female : non-single or male : single","4 <= ... < 7 yrs","building soc. savings agr. / life insurance","others","... < 100 DM","... < 0 DM","no"
"558","bad",29,5003,"delay in paying off in the past",21,"1 <= ... < 4 yrs","no","rent",">= 35","skilled employee/official","2-3","none","bank","0 to 2","female : non-single or male : single",">= 7 yrs","car or other","others","... >= 1000 DM","... >= 200 DM / salary for at least 1 year","yes (under customer name)"
"559","bad",27,3552,"critical account/other credits elsewhere",24,"4 <= ... < 7 yrs","no","rent","20 <= ... < 25","skilled employee/official","1","none","bank","0 to 2","male : married/widowed",">= 7 yrs","building soc. savings agr. / life insurance","car (used)","unknown/no savings account","no checking account","no"
"560","bad",31,1928,"all credits at this bank paid back duly",18,"< 1 yr","no","rent","25 <= ... < 35","unskilled - resident","2-3","none","none","0 to 2","male : married/widowed","1 <= ... < 4 yrs","unknown / no property","car (used)","unknown/no savings account","... < 0 DM","no"
"561","good",49,2964,"no credits taken/all credits paid back duly",24,">= 7 yrs","no","own","< 20","skilled employee/official","1","none","bank","3 or more","male : married/widowed",">= 7 yrs","real estate","car (new)","... >= 1000 DM","no checking account","yes (under customer name)"
"562","bad",24,1546,"critical account/other credits elsewhere",24,"4 <= ... < 7 yrs","no","for free","< 20","unskilled - resident","1","guarantor","bank","0 to 2","male : married/widowed",">= 7 yrs","building soc. savings agr. / life insurance","furniture/equipment","unknown/no savings account","no checking account","no"
"563","good",29,683,"existing credits paid back duly till now",6,"< 1 yr","no","rent","25 <= ... < 35","skilled employee/official","1","none","bank","0 to 2","female : non-single or male : single","< 1 yr","car or other","furniture/equipment","unknown/no savings account","0<= ... < 200 DM","no"
"564","bad",37,12389,"no credits taken/all credits paid back duly",36,"1 <= ... < 4 yrs","no","own",">= 35","skilled employee/official","1","none","none","0 to 2","male : married/widowed",">= 7 yrs","real estate","others","... >= 1000 DM","... < 0 DM","yes (under customer name)"
"565","good",37,4712,"existing credits paid back duly till now",24,"1 <= ... < 4 yrs","no","rent","< 20","manager/self-empl/highly qualif. employee","2-3","none","bank","0 to 2","male : married/widowed","1 <= ... < 4 yrs","car or other","retraining","... >= 1000 DM","... < 0 DM","yes (under customer name)"
"566","good",23,1553,"existing credits paid back duly till now",24,"4 <= ... < 7 yrs","no","for free","20 <= ... < 25","skilled employee/official","2-3","none","none","0 to 2","female : non-single or male : single","1 <= ... < 4 yrs","car or other","furniture/equipment","... < 100 DM","... < 0 DM","yes (under customer name)"
"567","bad",36,1372,"no credits taken/all credits paid back duly",12,"4 <= ... < 7 yrs","no","rent","25 <= ... < 35","skilled employee/official","1","none","none","0 to 2","male : divorced/separated","4 <= ... < 7 yrs","building soc. savings agr. / life insurance","others","unknown/no savings account","no checking account","no"
"568","good",NA,2578,"all credits at this bank paid back duly",24,">= 7 yrs","no","rent","25 <= ... < 35","skilled employee/official","1","none","none","0 to 2","male : married/widowed","1 <= ... < 4 yrs","building soc. savings agr. / life insurance","furniture/equipment","500 <= ... < 1000 DM","... >= 200 DM / salary for at least 1 year","no"
"569","good",41,3979,"no credits taken/all credits paid back duly",48,"4 <= ... < 7 yrs","no","rent","< 20","skilled employee/official","2-3","none","none","3 or more","male : married/widowed","< 1 yr","building soc. savings agr. / life insurance","furniture/equipment","... >= 1000 DM","... < 0 DM","yes (under customer name)"
"570","bad",31,6758,"no credits taken/all credits paid back duly",48,"1 <= ... < 4 yrs","no","rent","20 <= ... < 25","skilled employee/official","1","none","none","0 to 2","female : non-single or male : single","1 <= ... < 4 yrs","building soc. savings agr. / life insurance","furniture/equipment","unknown/no savings account","no checking account","yes (under customer name)"
"571","bad",23,3234,"no credits taken/all credits paid back duly",24,"< 1 yr","no","for free","< 20","unskilled - resident","1","none","none","0 to 2","female : non-single or male : single",">= 7 yrs","unknown / no property","car (used)","unknown/no savings account","no checking account","yes (under customer name)"
"572","good",38,5954,"all credits at this bank paid back duly",30,"4 <= ... < 7 yrs","no","rent","20 <= ... < 25","skilled employee/official","1","co-applicant","none","0 to 2","male : married/widowed","1 <= ... < 4 yrs","building soc. savings agr. / life insurance","furniture/equipment","unknown/no savings account","... >= 200 DM / salary for at least 1 year","no"
"573","good",26,5433,"no credits taken/all credits paid back duly",24,"unemployed","no","for free","25 <= ... < 35","manager/self-empl/highly qualif. employee","1","none","none","0 to 2","female : non-single or male : single",">= 7 yrs","car or other","car (new)","... >= 1000 DM","... >= 200 DM / salary for at least 1 year","yes (under customer name)"
"574","good",22,806,"no credits taken/all credits paid back duly",15,NA,"no","rent","< 20","unskilled - resident","1","none","none","0 to 2","female : non-single or male : single",">= 7 yrs","car or other","retraining","unknown/no savings account","no checking account","no"
"575","good",27,1082,"no credits taken/all credits paid back duly",9,NA,"no","rent","< 20","unskilled - resident","2-3","none","none","0 to 2","male : married/widowed",">= 7 yrs","building soc. savings agr. / life insurance","furniture/equipment","unknown/no savings account","... < 0 DM","no"
"576","good",24,2788,"all credits at this bank paid back duly",15,"4 <= ... < 7 yrs","no","rent","25 <= ... < 35","skilled employee/official","2-3","co-applicant","bank","0 to 2","female : non-single or male : single","4 <= ... < 7 yrs","building soc. savings agr. / life insurance","car (used)","unknown/no savings account","... >= 200 DM / salary for at least 1 year","no"
"577","good",27,2930,"no credits taken/all credits paid back duly",12,"4 <= ... < 7 yrs","no","rent","25 <= ... < 35","skilled employee/official","1","none","none","0 to 2","female : non-single or male : single","< 1 yr","unknown / no property","furniture/equipment","unknown/no savings account","... < 0 DM","no"
"578","good",33,1927,"all credits at this bank paid back duly",24,"1 <= ... < 4 yrs","no","rent","20 <= ... < 25","skilled employee/official","2-3","none","none","0 to 2","female : non-single or male : single","1 <= ... < 4 yrs","building soc. savings agr. / life insurance","repairs","... >= 1000 DM","... >= 200 DM / salary for at least 1 year","yes (under customer name)"
"579","bad",27,2820,"all credits at this bank paid back duly",36,NA,"no","rent","< 20","skilled employee/official","2-3","none","none","0 to 2","male : divorced/separated",">= 7 yrs","building soc. savings agr. / life insurance","others","unknown/no savings account","... < 0 DM","no"
"580","good",27,937,"no credits taken/all credits paid back duly",24,NA,"no","rent","< 20","unskilled - resident","2-3","none","none","0 to 2","female : single","4 <= ... < 7 yrs","building soc. savings agr. / life insurance","vacation","unknown/no savings account","... >= 200 DM / salary for at least 1 year","no"
"581","bad",30,1056,"all credits at this bank paid back duly",18,">= 7 yrs","no","rent","20 <= ... < 25","skilled employee/official","2-3","guarantor","bank","0 to 2","male : married/widowed","4 <= ... < 7 yrs","unknown / no property","others","unknown/no savings account","... < 0 DM","no"
"582","good",NA,3124,"all credits at this bank paid back duly",12,"< 1 yr","no","rent",">= 35","unskilled - resident","2-3","none","bank","3 or more","male : married/widowed","4 <= ... < 7 yrs","unknown / no property","others","unknown/no savings account","... < 0 DM","no"
"583","good",26,1388,"no credits taken/all credits paid back duly",9,"1 <= ... < 4 yrs","no","for free","< 20","skilled employee/official","1","none","none","0 to 2","female : non-single or male : single","1 <= ... < 4 yrs","unknown / no property","car (used)","unknown/no savings account","... >= 200 DM / salary for at least 1 year","no"
"584","bad",33,2384,"no credits taken/all credits paid back duly",36,"< 1 yr","no","for free","< 20","unskilled - resident","1","none","none","0 to 2","male : married/widowed","< 1 yr","real estate","domestic appliances","unknown/no savings account","... < 0 DM","no"
"585","good",52,2133,"no credits taken/all credits paid back duly",12,">= 7 yrs","no","own","< 20","manager/self-empl/highly qualif. employee","1","none","none","0 to 2","female : non-single or male : single",">= 7 yrs","real estate","others","... >= 1000 DM","... >= 200 DM / salary for at least 1 year","yes (under customer name)"
"586","bad",20,2039,"no credits taken/all credits paid back duly",18,"1 <= ... < 4 yrs","no","for free",">= 35","skilled employee/official","1","none","bank","0 to 2","female : non-single or male : single",">= 7 yrs","unknown / no property","car (used)","unknown/no savings account","no checking account","no"
"587","good",36,2799,"all credits at this bank paid back duly",9,"1 <= ... < 4 yrs","no","for free","25 <= ... < 35","skilled employee/official",NA,"none","none","3 or more","male : married/widowed","1 <= ... < 4 yrs","unknown / no property","others","unknown/no savings account","no checking account","no"
"588","good",21,1289,"no credits taken/all credits paid back duly",12,"1 <= ... < 4 yrs","no","rent","< 20","unskilled - resident","1","guarantor","none","0 to 2","male : married/widowed","< 1 yr","car or other","car (used)","unknown/no savings account","no checking account","no"
"589","bad",47,1217,"no credits taken/all credits paid back duly",18,"1 <= ... < 4 yrs","no","rent","< 20","unskilled - resident","1","none","none","0 to 2","female : single","4 <= ... < 7 yrs","unknown / no property","radio/television","unknown/no savings account","no checking account","yes (under customer name)"
"590","bad",60,2246,"all credits at this bank paid back duly",12,">= 7 yrs","no","rent","20 <= ... < 25","skilled employee/official","2-3","none","none","0 to 2","male : married/widowed","4 <= ... < 7 yrs","car or other","car (used)","unknown/no savings account","no checking account","no"
"591","good",0,385,"all credits at this bank paid back duly",12,"4 <= ... < 7 yrs","no","rent","< 20","unskilled - resident",">= 6","none","none","0 to 2","female : non-single or male : single","4 <= ... < 7 yrs","unknown / no property","furniture/equipment","unknown/no savings account","no checking account","yes (under customer name)"
"592","good",42,1965,"existing credits paid back duly till now",24,"1 <= ... < 4 yrs","no","for free","< 20","skilled employee/official","2-3","none","none","0 to 2","female : non-single or male : single",">= 7 yrs","building soc. savings agr. / life insurance","others","... >= 1000 DM","... < 0 DM","yes (under customer name)"
"593","good",36,1572,"no credits taken/all credits paid back duly",21,">= 7 yrs","no","rent","< 20","unskilled - resident","1","none","bank","0 to 2","female : non-single or male : single",">= 7 yrs","unknown / no property","retraining","500 <= ... < 1000 DM","... >= 200 DM / salary for at least 1 year","no"
"594","bad",20,2718,"no credits taken/all credits paid back duly",24,"1 <= ... < 4 yrs","no","for free","20 <= ... < 25","unskilled - resident","1","none","none","0 to 2","female : non-single or male : single",">= 7 yrs","car or other","others","unknown/no savings account","... < 0 DM","yes (under customer name)"
"595","bad",40,1358,"critical account/other credits elsewhere",24,">= 7 yrs","no","rent","< 20","manager/self-empl/highly qualif. employee","1","none","stores","0 to 2","male : married/widowed","4 <= ... < 7 yrs","building soc. savings agr. / life insurance","business","... >= 1000 DM","no checking account","yes (under customer name)"
"596","bad",32,931,"critical account/other credits elsewhere",6,"< 1 yr","no","rent",">= 35","unskilled - resident","1","none","stores","0 to 2","female : non-single or male : single","< 1 yr","car or other","others","... < 100 DM","... < 0 DM","no"
"597","bad",23,1442,"no credits taken/all credits paid back duly",24,"4 <= ... < 7 yrs","no","for free","< 20","skilled employee/official","2-3","none","none","0 to 2","female : non-single or male : single",">= 7 yrs","building soc. savings agr. / life insurance","others","unknown/no savings account","no checking account","no"
"598","bad",36,4241,"delay in paying off in the past",24,"1 <= ... < 4 yrs","no","rent",">= 35","unskilled - resident","4-5","none","none","0 to 2","male : married/widowed",">= 7 yrs","unknown / no property","retraining","unknown/no savings account","... < 0 DM","yes (under customer name)"
"599","bad",31,2775,"all credits at this bank paid back duly",18,"4 <= ... < 7 yrs","no","rent","25 <= ... < 35","skilled employee/official","2-3","none","bank","0 to 2","male : married/widowed","1 <= ... < 4 yrs","car or other","others","unknown/no savings account","... >= 200 DM / salary for at least 1 year","no"
"600","good",32,3863,"existing credits paid back duly till now",24,"1 <= ... < 4 yrs","no","own",">= 35","skilled employee/official","1","none","none","0 to 2","male : married/widowed","1 <= ... < 4 yrs","real estate","retraining","unknown/no savings account","... >= 200 DM / salary for at least 1 year","no"
"601","good",45,2329,"no credits taken/all credits paid back duly",7,"< 1 yr","no","rent",">= 35","skilled employee/official","1","guarantor","none","0 to 2","female : non-single or male : single","< 1 yr","unknown / no property","furniture/equipment","unknown/no savings account","... < 0 DM","no"
"602","bad",NA,918,"no credits taken/all credits paid back duly",9,NA,"no","rent","< 20","skilled employee/official","1","none","none","0 to 2","female : non-single or male : single","< 1 yr","car or other","car (used)","unknown/no savings account","... < 0 DM","no"
"603","bad",34,1837,"critical account/other credits elsewhere",24,"4 <= ... < 7 yrs","no","own","< 20","unskilled - resident","1","none","bank","0 to 2","female : non-single or male : single",">= 7 yrs","real estate","repairs","unknown/no savings account","... < 0 DM","no"
"604","bad",28,3349,"no credits taken/all credits paid back duly",36,"1 <= ... < 4 yrs","no","rent","< 20","manager/self-empl/highly qualif. employee","1","none","none","0 to 2","female : non-single or male : single","1 <= ... < 4 yrs","building soc. savings agr. / life insurance","car (used)","unknown/no savings account","... >= 200 DM / salary for at least 1 year","yes (under customer name)"
"605","good",23,1275,"no credits taken/all credits paid back duly",10,NA,"no","rent","< 20","skilled employee/official","1","none","none","0 to 2","female : non-single or male : single","1 <= ... < 4 yrs","car or other","car (used)","unknown/no savings account","0<= ... < 200 DM","no"
"606","good",22,2828,"critical account/other credits elsewhere",24,"1 <= ... < 4 yrs","no","rent","< 20","skilled employee/official","1","none","stores","0 to 2","male : married/widowed",">= 7 yrs","unknown / no property","car (used)","100 <= ... < 500 DM","no checking account","yes (under customer name)"
"607","good",74,4526,"all credits at this bank paid back duly",24,"1 <= ... < 4 yrs","no","rent","20 <= ... < 25","manager/self-empl/highly qualif. employee","1","none","none","0 to 2","male : married/widowed","1 <= ... < 4 yrs","unknown / no property","retraining","unknown/no savings account","... >= 200 DM / salary for at least 1 year","yes (under customer name)"
"608","bad",50,2671,"no credits taken/all credits paid back duly",36,"1 <= ... < 4 yrs","no","own","< 20","skilled employee/official","1","co-applicant","none","0 to 2","female : non-single or male : single",">= 7 yrs","real estate","furniture/equipment","... < 100 DM","... < 0 DM","no"
"609","good",33,2051,"no credits taken/all credits paid back duly",18,"< 1 yr","no","rent","< 20","skilled employee/official","1","none","none","0 to 2","male : married/widowed","< 1 yr","unknown / no property","furniture/equipment","unknown/no savings account","... >= 200 DM / salary for at least 1 year","no"
"610","good",45,1300,"no credits taken/all credits paid back duly",15,">= 7 yrs","no","own","< 20","skilled employee/official","1","none","bank","3 or more","male : married/widowed",">= 7 yrs","real estate","car (new)","... >= 1000 DM","... >= 200 DM / salary for at least 1 year","no"
"611","bad",22,741,"no credits taken/all credits paid back duly",12,NA,"no","rent","< 20","skilled employee/official","1","none","none","0 to 2","female : non-single or male : single","4 <= ... < 7 yrs","car or other","radio/television","... < 100 DM","no checking account","no"
"612","bad",48,1240,"no credits taken/all credits paid back duly",10,">= 7 yrs","no","own",">= 35","unskilled - resident","1","none","none","3 or more","female : non-single or male : single",">= 7 yrs","real estate","others","... < 100 DM","0<= ... < 200 DM","no"
"613","good",29,3357,"no credits taken/all credits paid back duly",21,"< 1 yr","no","rent","< 20","skilled employee/official","1","none","bank","0 to 2","female : non-single or male : single","1 <= ... < 4 yrs","building soc. savings agr. / life insurance","furniture/equipment","500 <= ... < 1000 DM","no checking account","no"
"614","good",22,3632,"critical account/other credits elsewhere",24,"1 <= ... < 4 yrs","yes","for free",">= 35","skilled employee/official","1","guarantor","bank","0 to 2","female : non-single or male : single",">= 7 yrs","building soc. savings agr. / life insurance","car (new)","unknown/no savings account","no checking account","no"
"615","bad",22,1808,"existing credits paid back duly till now",18,"4 <= ... < 7 yrs","no","rent","< 20","skilled employee/official","1","none","none","0 to 2","female : non-single or male : single","< 1 yr","unknown / no property","car (used)","unknown/no savings account","... >= 200 DM / salary for at least 1 year","no"
"616","good",48,12204,"delay in paying off in the past",48,NA,"no","rent","25 <= ... < 35","manager/self-empl/highly qualif. employee",NA,"none","bank","0 to 2","male : married/widowed","1 <= ... < 4 yrs","building soc. savings agr. / life insurance","retraining","... >= 1000 DM","... < 0 DM","yes (under customer name)"
"617","good",27,9157,"existing credits paid back duly till now",60,"1 <= ... < 4 yrs","no","own","25 <= ... < 35","manager/self-empl/highly qualif. employee","1","none","none","0 to 2","male : married/widowed","1 <= ... < 4 yrs","real estate","furniture/equipment","... >= 1000 DM","... < 0 DM","no"
"618","good",37,3676,"all credits at this bank paid back duly",6,"1 <= ... < 4 yrs","no","for free",">= 35","skilled employee/official","4-5","none","none","3 or more","male : married/widowed","4 <= ... < 7 yrs","unknown / no property","others","unknown/no savings account","no checking account","no"
"619","bad",NA,3441,"no credits taken/all credits paid back duly",30,"1 <= ... < 4 yrs","no","for free","25 <= ... < 35","skilled employee/official","1","co-applicant","none","0 to 2","female : non-single or male : single",">= 7 yrs","building soc. savings agr. / life insurance","car (used)","... < 100 DM","... < 0 DM","no"
"620","good",NA,640,"no credits taken/all credits paid back duly",12,NA,"no","rent","< 20","unskilled - resident","1","none","none","0 to 2","male : divorced/separated","1 <= ... < 4 yrs","unknown / no property","others","unknown/no savings account","... >= 200 DM / salary for at least 1 year","no"
"621","good",27,3652,"all credits at this bank paid back duly",21,"4 <= ... < 7 yrs","no","rent","25 <= ... < 35","skilled employee/official","2-3","none","none","0 to 2","male : married/widowed","4 <= ... < 7 yrs","car or other","retraining","unknown/no savings account","... < 0 DM","no"
"622","bad",32,1530,"all credits at this bank paid back duly",18,"1 <= ... < 4 yrs","no","rent","20 <= ... < 25","skilled employee/official","2-3","none","bank","0 to 2","male : married/widowed","1 <= ... < 4 yrs","car or other","others","unknown/no savings account","... >= 200 DM / salary for at least 1 year","no"
"623","bad",38,3914,"no credits taken/all credits paid back duly",48,NA,"no","rent","< 20","skilled employee/official","1","none","bank","0 to 2","male : divorced/separated","1 <= ... < 4 yrs","unknown / no property","retraining","... >= 1000 DM","... >= 200 DM / salary for at least 1 year","no"
"624","good",0,1858,"no credits taken/all credits paid back duly",12,"< 1 yr","no","for free","< 20","skilled employee/official","1","none","none","0 to 2","female : non-single or male : single","< 1 yr","building soc. savings agr. / life insurance","car (used)","unknown/no savings account","no checking account","no"
"625","bad",65,2600,"no credits taken/all credits paid back duly",18,"1 <= ... < 4 yrs","no","own","< 20","skilled employee/official","2-3","none","none","0 to 2","male : married/widowed",">= 7 yrs","real estate","furniture/equipment","unknown/no savings account","no checking account","no"
"626","good",35,1979,"no credits taken/all credits paid back duly",15,">= 7 yrs","no","rent","< 20","skilled employee/official","1","none","none","0 to 2","male : married/widowed","1 <= ... < 4 yrs","building soc. savings agr. / life insurance","furniture/equipment","... >= 1000 DM","... >= 200 DM / salary for at least 1 year","no"
"627","good",41,2116,"no credits taken/all credits paid back duly",6,"1 <= ... < 4 yrs","no","rent","25 <= ... < 35","skilled employee/official","1","none","none","0 to 2","male : married/widowed","1 <= ... < 4 yrs","unknown / no property","car (used)","unknown/no savings account","0<= ... < 200 DM","yes (under customer name)"
"628","bad",29,1437,"critical account/other credits elsewhere",9,"4 <= ... < 7 yrs","no","rent","25 <= ... < 35","skilled employee/official","1","none","none","0 to 2","male : married/widowed","4 <= ... < 7 yrs","real estate","others","... < 100 DM","... < 0 DM","no"
"629","good",36,4042,"all credits at this bank paid back duly",42,NA,"no","rent","< 20","skilled employee/official","2-3","none","none","0 to 2","male : married/widowed",">= 7 yrs","unknown / no property","car (used)","100 <= ... < 500 DM","... >= 200 DM / salary for at least 1 year","yes (under customer name)"
"630","good",0,3832,"no credits taken/all credits paid back duly",9,">= 7 yrs","no","rent",">= 35","unskilled - resident","1","none","none","0 to 2","male : married/widowed",">= 7 yrs","unknown / no property","repairs","... >= 1000 DM","... >= 200 DM / salary for at least 1 year","no"
"631","good",NA,3660,"no credits taken/all credits paid back duly",24,NA,"no","rent","25 <= ... < 35","skilled employee/official","1","none","none","0 to 2","female : non-single or male : single",">= 7 yrs","building soc. savings agr. / life insurance","furniture/equipment","unknown/no savings account","no checking account","no"
"632","bad",44,1553,"critical account/other credits elsewhere",18,"1 <= ... < 4 yrs","no","rent","< 20","skilled employee/official","1","none","bank","0 to 2","male : married/widowed","4 <= ... < 7 yrs","building soc. savings agr. / life insurance","car (used)","unknown/no savings account","no checking account","no"
"633","good",23,1444,"no credits taken/all credits paid back duly",15,"< 1 yr","no","rent","< 20","skilled employee/official","1","none","none","0 to 2","male : married/widowed","< 1 yr","car or other","furniture/equipment","... >= 1000 DM","... < 0 DM","no"
"634","bad",19,1980,"no credits taken/all credits paid back duly",9,"< 1 yr","no","for free","25 <= ... < 35","skilled employee/official","2-3","co-applicant","none","0 to 2","female : non-single or male : single","1 <= ... < 4 yrs","building soc. savings agr. / life insurance","car (used)","unknown/no savings account","... >= 200 DM / salary for at least 1 year","no"
"635","bad",NA,1355,"no credits taken/all credits paid back duly",24,"< 1 yr","no","rent","20 <= ... < 25","unskilled - resident","1","none","none","0 to 2","female : non-single or male : single",">= 7 yrs","building soc. savings agr. / life insurance","others","unknown/no savings account","... < 0 DM","yes (under customer name)"
